id;language_from;language_to;word_from;word_to;type
;en;de;"Learn English in San Diego, Los Angeles & Vancouver";"Englisch lernen in San Diego, Los Angeles & Vancouver";meta_title
;en;fr;"Learn English in San Diego, Los Angeles & Vancouver";"Apprenez l'anglais à San Diego, Los Angeles & Vancouver";meta_title
;en;es;"Learn English in San Diego, Los Angeles & Vancouver";"Aprende inglés en San Diego, Los Angeles y Vancouver";meta_title
;en;it;"Learn English in San Diego, Los Angeles & Vancouver";"Impara l'inglese a San Diego, Los Angeles e Vancouver";meta_title
;en;pt;"Learn English in San Diego, Los Angeles & Vancouver";"Aprenda inglês em San Diego, Los Angeles e Vancouver";meta_title
;en;ko;"Learn English in San Diego, Los Angeles & Vancouver";"San Diego, Los Angeles 및 Vancouver에서 영어를 배워보세요.";meta_title
;en;ja;"Learn English in San Diego, Los Angeles & Vancouver";"San Diego、Los Angeles、Vancouverで英語を学ぶ";meta_title
;en;ar;"Learn English in San Diego, Los Angeles & Vancouver";"تعلم الإنجليزية في San Diego، وLos Angeles وVancouver";meta_title
;en;de;"San Diego English Language School – California | CEL";"San Diego Englisch-Sprachschule – California | CEL";meta_title
;en;fr;"San Diego English Language School – California | CEL";"École de langue anglaise de San Diego – California | CEL";meta_title
;en;es;"San Diego English Language School – California | CEL";"Escuela de inglés en San Diego – California | CEL";meta_title
;en;it;"San Diego English Language School – California | CEL";"Scuola di lingua inglese a San Diego – California | CEL";meta_title
;en;pt;"San Diego English Language School – California | CEL";"Escola de Língua Inglesa de San Diego – California | CEL";meta_title
;en;ko;"San Diego English Language School – California | CEL";"San Diego 영어 어학원 – California | CEL";meta_title
;en;ja;"San Diego English Language School – California | CEL";"San Diego 英語学校 – California | CEL";meta_title
;en;ar;"San Diego English Language School – California | CEL";"مدرسة اللغة الإنجليزية في San Diego – California | CEL";meta_title
;en;de;"Los Angeles English Language School – California | CEL";"Los Angeles Englisch-Sprachschule – California | CEL";meta_title
;en;fr;"Los Angeles English Language School – California | CEL";"École de langue anglaise de Los Angeles – California | CEL";meta_title
;en;es;"Los Angeles English Language School – California | CEL";"Escuela de Inglés en Los Angeles – California | CEL";meta_title
;en;it;"Los Angeles English Language School – California | CEL";"Scuola di lingua inglese a Los Angeles – California | CEL";meta_title
