id;language_from;language_to;word_from;word_to;type
;en;ko;"International students targeting North American universities often face strict entry requirements. One-to-one sessions support students enrolled in an intensive pathway program in the USA by giving them a dedicated space to practice academic writing, citation formats, and presentation skills. A student preparing for college might spend their sessions reviewing complex sentence structures required for university-level essays. It builds confidence. Preparing for an undergraduate degree preparation track demands more than just casual conversation skills. You must master formal registers, academic vocabulary, and critical thinking articulation. Teachers holding specific exam credentials guide you through these demanding transitions.";"북미 지역 대학을 목표로 하는 유학생들은 종종 엄격한 입학 요건에 직면합니다. 1:1 세션은 미국의 집중 패스웨이 프로그램에 등록한 학생들이 학술적 글쓰기, 인용 형식, 발표 기술을 연습할 수 있는 전용 공간을 제공하여 학업을 지원합니다. 대학 진학을 준비하는 학생이라면 대학교 수준의 에세이에 필요한 복잡한 문장 구조를 복습하며 수업 시간을 보낼 수 있습니다. 이는 자신감을 키워줍니다. 학사 학위 준비 과정을 밟으려면 가벼운 일상 대화 이상의 실력이 필요합니다. 격식 있는 어조와 학술 어휘를 익히고 비판적 사고를 논리적으로 표현해야 합니다. 특정 시험 자격을 갖춘 교사진이 이러한 까다로운 전환 과정을 잘 헤쳐 나갈 수 있도록 돕습니다.";Text
;en;ko;"Vancouver independent living";"밴쿠버에서의 독립적인 생활";Text
;en;ko;"How does our language school in Los Angeles work?";"Los Angeles 어학원은 어떻게 운영될까요?";Text
;en;ko;"Academic Pathway USA";"Academic Pathway USA";Text
;en;ko;"Navigating the downtown neighborhood";"다운타운 동네 탐방";Text
;en;ko;"Why choose our english language school in Vancouver?";"Vancouver에 위치한 저희 영어 학교를 선택해야 하는 이유";Text
;en;ko;"Test strategies and classroom focus";"시험 전략 및 수업 포커스";Text
;en;ko;"Students who choose a homestay find that their speaking confidence improves fastest when they are forced to use the language at home. Finding the right words over dinner or asking for directions to the grocery store forces you to think in English. If you encounter difficulties, reading about ways to overcome difficulties learning English can help you manage common early frustrations. Your host family understands that you are a student. They will patiently encourage you to express yourself.";"홈스테이를 선택한 학생들은 집 안에서 영어를 써야만 하는 환경에 놓일 때 말하기 자신감이 가장 빠르게 향상됨을 체감합니다. 저녁 식사 중 적절한 단어를 찾거나 식료품점 가는 길을 물어보는 과정은 영어로 생각하는 습관을 길러줍니다. 난관에 부딪혔을 때, 영어 학습의 어려움을 극복하는 방법을 읽어보는 것은 초기 단계의 흔한 좌절감을 다스리는 데 큰 도움이 됩니다. 호스트 패밀리는 여러분이 학생이라는 사실을 이해합니다. 이들은 인내심을 갖고 여러분이 자신의 생각을 표현하도록 격려할 것입니다.";Text
;en;ko;"Who benefits most from this arrangement?";"어떤 분들에게 가장 적합할까요?";Text
;en;ko;"Downtown Student Living";"다운타운 학생 주거";Text
;en;ko;"Living in the Fairview district offers a practical balance between quiet residential streets and access to major city amenities. Because the apartment economy apt living requires self-catering, you handle your own grocery shopping and daily cooking. This setup naturally encourages you to interact with neighbors and vendors. Every interaction outside your studio contributes to your learning progress. Students who enroll in General English classes often use their evenings to practice new vocabulary while running errands. You set your schedule. Total independence. The space itself holds exactly what a single student needs for a productive stay. Reviewing other housing options shows that self-catering studios provide the highest level of personal freedom. A 30-minute commute is standard for urban professionals, giving you a highly authentic experience. By the time you arrive at the school, your mind is fully engaged in the target language.";"페어뷰 지역 거주는 한적한 주택가와 주요 도심 편의시설 접근성 사이의 실용적인 균형을 제공합니다. 이코노미 아파트형 숙소는 자율 취사 방식이므로 장보기와 매일의 요리를 직접 책임집니다. 이러한 환경은 이웃 및 상인들과의 소통을 자연스럽게 유도합니다. 스튜디오 밖에서의 모든 대화는 영어 실력 향상에 기여합니다. 일반 영어 과정을 수강하는 학생들은 주로 저녁 시간에 심부름을 하며 새로 배운 어휘를 연습합니다. 일정을 직접 정합니다. 완전한 독립입니다. 공간 자체에 1인 학생이 생산적인 체류를 위해 필요로 하는 모든 것이 갖춰져 있습니다. 다른 숙소 옵션과 비교해 보면 자율 취사 스튜디오가 가장 높은 수준의 개인적인 자유를 보장합니다. 30분의 통학 시간은 도시 직장인들에게 표준적인 수준으로, 현지인다운 일상을 경험하게 해줍니다. 학교에 도착할 즈음이면 머릿속은 이미 영어에 완전히 몰입된 상태가 됩니다.";Text
;en;ko;"Choosing the right curriculum depends entirely on what you want to achieve. Many students start with a standard foundation at our english language school. Our general English courses build everyday vocabulary and practical grammar. If you plan to sit for formal exams, the focus shifts. A specialized Cambridge prep program targets the exact reading, writing, and speaking formats required for a passing score. The material is rigorous. The practice tests are timed. For those focusing on professional growth, career development modules introduce project-based learning. You simulate business meetings, analyze artificial intelligence trends, and practice project management vocabulary. This builds immediate career-ready skills. We also accommodate absolute beginners who need a private focus. Adding one-on-one sessions allows your instructor to isolate specific pronunciation habits or grammar gaps. Not sure which track fits best? Take a moment to explore all of our classes and compare the weekly schedules.";"알맞은 교육과정을 선택하는 것은 오직 무엇을 성취하고자 하는지에 달려 있습니다. 많은 학생이 저희 영어 학교에서 표준 기초 과정을 시작합니다. 일반 영어 과정은 일상적인 어휘와 실용적인 문법 실력을 키워줍니다. 공인 시험을 치를 계획이라면 집중 방향이 달라집니다. 전문적인 캠브리지 준비 프로그램은 합격 점수에 필요한 정확한 읽기, 쓰기, 말하기 형식에 맞춰 진행됩니다. 교재는 엄격하게 구성되어 있습니다. 모의고사는 실제 시간을 재고 치릅니다. 직무 능력 향상에 집중하는 학생을 위해 경력 개발 모듈에서 프로젝트 기반 학습을 제공합니다. 비즈니스 미팅을 시뮬레이션하고 인공지능 동향을 분석하며 프로젝트 관리 어휘를 연습합니다. 이는 실무에 즉시 투입될 수 있는 기술을 길러줍니다. 개인적인 집중 관리가 필요한 완전 초급자도 수용합니다. 1대1 수업을 추가하면 강사가 특유의 발음 습관이나 부족한 문법 부분을 짚어낼 수 있습니다. 어떤 과정이 가장 잘 맞을지 확신이 서지 않는다면 잠시 시간을 내어 전체 수업을 탐색하고 주간 일정을 비교해 보십시오.";Text
;en;ko;"Who is the shared apartment downtown best suited for?";"시내 쉐어 아파트는 누구에게 가장 적합할까요?";Text
;en;ko;"Finding the right balance of privacy and connection";"사생활 보장과 인적 교류 사이의 적절한 균형 찾기";Text
;en;ko;"Students choosing between the english plus toefl preparation and our English Plus Cambridge Prep typically base their decision on geographic goals. The TOEFL iBT is widely requested by universities in North America. Cambridge English exams hold massive recognition across Europe and the United Kingdom. Both require intense dedication. If you plan to apply to undergraduate programs at American universities, the TOEFL iBT score provides the most direct route for admissions. Some candidates also consider focusing on English Academic Skills if they need more time to build fundamental university writing habits before tackling timed exam formats.";"English Plus TOEFL Preparation과 English Plus Cambridge Prep 중 어떤 과정을 선택할지 고민하는 학생들은 대개 지리적 목표를 기준으로 결정합니다. TOEFL iBT는 북미 지역 대학에서 폭넓게 요구하는 시험입니다. Cambridge English 시험은 유럽과 영국 전역에서 높은 인지도를 자랑합니다. 두 과정 모두 강도 높은 헌신이 필요합니다. 미국 대학의 학부 과정에 지원할 계획이라면 TOEFL iBT 점수를 확보하는 것이 가장 직접적인 입학 경로가 됩니다. 일부 수험생은 시간제한이 있는 시험 형식에 도전하기 전, 대학 수준의 기초적인 글쓰기 습관을 기를 시간이 더 필요하다면 학술 영어(English Academic Skills) 과정에 집중하는 방안을 고려하기도 합니다.";Text
;en;ko;"An eight-week duration acts as a solid foundation for noticeable fluency gains. Students arriving at an A2 or B1 level often experience a visible improvement in their daily communication skills within this timeframe. You develop stronger grammar control and improve your listening comprehension. By the end of two months, you might complete a full level advancement. The key is consistent attendance. Your progress depends directly on how intensely you practice reading and writing alongside spoken conversation. Exploring the city helps. Review our surprises of living in Vancouver as a student post to see how daily life reinforces classroom theory. Practicing your English in Vancouver neighborhoods like Kitsilano or Gastown forces you to use new phrasing naturally.";"8주라는 기간은 눈에 띄는 유창성 향상을 위한 탄탄한 기초가 됩니다. A2 또는 B1 레벨로 시작한 학생은 이 기간 안에 일상 소통 능력이 눈에 띄게 향상되는 것을 경험합니다. 문법을 더 정확하게 구사하고 듣기 이해력이 높아집니다. 두 달이 지나면 한 레벨 전체를 수료할 수 있습니다. 핵심은 꾸준한 출석입니다. 학업 성취도는 말하기 회화와 함께 읽기와 쓰기를 얼마나 집중적으로 연습하느냐에 직결됩니다. 도시를 둘러보는 것도 도움이 됩니다. [유학생으로서 밴쿠버에 살며 겪는 놀라운 점] 게시물을 읽고 일상생활이 수업 내용을 어떻게 보완하는지 확인해 보십시오. 키칠라노(Kitsilano)나 개스타운(Gastown) 같은 밴쿠버 동네에서 영어를 연습하면 자연스럽게 새로운 표현을 사용하게 됩니다.";Text
;en;ko;"Is English Plus Surfing the right program for you?";"English Plus Surfing 과정이 본인에게 적합할까요?";Text
;en;ko;"What makes a premium homestay right for you?";"프리미엄 홈스테이가 적합한 이유는 무엇일까요?";Text
;en;ko;"Pathway Career Training";"패스웨이 커리어 트레이닝";Text
;en;ko;"Equipment rentals are included in your afternoon sessions. You do not need to purchase a board or wetsuit before arriving in California. The coaching staff matches the equipment to your height, weight, and current skill level each week. As your balance improves, they transition you to shorter, more responsive boards. Your only daily responsibilities are attending your morning lessons, bringing adequate sun protection, and maintaining an open mindset.";"오후 세션에는 장비 대여가 포함되어 있습니다. 캘리포니아에 도착하기 전에 보드나 웨트슈트를 구매할 필요가 없습니다. 코치진은 매주 여러분의 키, 몸무게, 현재 기술 수준에 맞춰 장비를 조절해 줍니다. 균형 감각이 향상됨에 따라 더 짧고 반응성이 좋은 보드로 교체해 줍니다. 매일 여러분이 해야 할 일은 오전 수업에 참석하고, 충분한 자외선 차단제를 준비하며, 열린 마음가짐을 유지하는 것뿐입니다.";Text
;en;ko;"Graduates of U.S. degree programs can apply for Optional Practical Training (OPT), which allows up to 1 year of paid work in the United States after completing a degree (and longer for graduates of certain Science, Technology, Engineering, and Mathematics (STEM) fields). That career runway is one reason many students choose the U.S. route rather than studying entirely from abroad. Students who want to see the program location, meet the team, and plan a start date can reach CEL's San Diego language school directly.";"미국 대학 학위 과정 졸업생은 Optional Practical Training(OPT)을 신청할 수 있습니다. 학위를 마친 후 미국에서 최대 1년 동안 유급으로 일할 자격을 얻게 됩니다. 특정 과학, 기술, 공학, 수학(STEM) 분야 졸업생에게는 한층 더 긴 기간이 주어집니다. 이러한 경력 개발의 발판은 많은 학생이 모국에 남아 공부하는 대신 미국 유학 경로를 선택하는 핵심적인 이유입니다. 프로그램이 진행되는 환경을 둘러보고, 담당 팀을 만나 학업 시작일을 구체적으로 계획하고 싶다면 CEL San Diego 어학원으로 직접 연락해 주시기 바랍니다.";Text
;en;ko;"Earning a high score on the Cambridge English: Advanced (CAE) requires dedicated strategy practice. Advanced learners usually spend 8 to 12 weeks purely on exam techniques. You must master the specific reading formats and strict time limits of the test. Taking practice exams under realistic conditions is essential. We provide personalized feedback on every mock test. If you are aiming for university admission, you might need a longer pathway. Many students spend 20 weeks or more bridging the gap between general fluency and academic readiness. You can review our undergraduate pathway programs to understand the required entry benchmarks for North American institutions.";"Cambridge English: Advanced (CAE)에서 높은 점수를 받으려면 체계적인 전략 연습이 필요합니다. 고급 학습자는 보통 8주에서 12주를 오로지 시험 기술에 집중합니다. 시험의 특정 읽기 형식과 엄격한 시간 제한을 반드시 숙달해야 합니다. 실제와 같은 조건에서 모의고사를 치르는 것은 필수입니다. 모든 모의고사에 대해 맞춤형 피드백이 제공됩니다. 대학 입학을 목표로 한다면 더 긴 진학 과정이 필요할 수 있습니다. 많은 학생이 일반적인 유창성과 학문적 준비 사이의 격차를 줄이는 데 20주 이상을 투자합니다. [학사 패스웨이 프로그램]을 검토하여 북미 교육 기관에서 요구하는 입학 기준을 파악할 수 있습니다.";Text
;en;ko;"Timeline expectations and level progression";"예상 소요 기간과 레벨 향상";Text
;en;ko;"Afternoons and weekends are built around an excursion programme rather than free time, with included visits across the Southern California coast and city. The published list includes Disneyland, Universal Studios, a Los Angeles day trip, a Major League Baseball game, San Diego Zoo, Belmont Park, Coronado Island, Balboa Park, Sea World, USS Midway Museum, Seaport Village, Old Town, Little Italy, and Fashion Valley, plus regular beach and park time given the Pacific Beach proximity. The mix is built so that students experience American teen-life routines (theme parks, ballparks, boardwalks) while practising English with peers from many different countries each summer. Parents and students who want answers to questions outside the camp brief can use the broader CEL FAQ covering courses, accreditation, and student support across all CEL programmes.";"오후와 주말은 단순한 자유 시간이 아니라 남부 캘리포니아 해안과 도시 전역을 돌아보는 야외 활동 프로그램으로 채워져 있습니다. 공개된 일정에는 디즈니랜드, 유니버설 스튜디오, Los Angeles 당일 여행, 메이저리그 야구 경기, 샌디에이고 동물원, 벨몬트 파크, 코로나도 아일랜드, 발보아 파크, 씨월드, USS 미드웨이 박물관, 시포트 빌리지, 올드 타운, 리틀 이탈리아, 패션 밸리 방문이 포함되어 있으며 퍼시픽 비치와의 접근성을 살려 해변과 공원에서 보내는 시간도 정기적으로 주어집니다. 테마파크, 야구장, 해변 산책로 등 미국 십 대들의 일상을 직접 경험하는 동시에 매년 여름 전 세계에서 온 또래들과 함께 영어를 연습할 수 있도록 활동을 조화롭게 구성했습니다. 캠프 안내서 내용 외에 궁금한 점이 있는 학부모와 학생은 모든 CEL 과정과 인증, 학생 지원 사항을 폭넓게 다루는 CEL FAQ를 이용할 수 있습니다.";Text
;en;ko;"Daily life and academic progression";"일상생활과 학업 성취";Text
