id;type;value;languages;language_button_displayed;exclusion_behavior
;Is exactly;/post/how-long-does-it-really-take-to-learn-english;ar,de,es,fr,it,ja,ko,pt;1;Redirect
;Is exactly;/post/studiare-inglese-canada-tutto-anno-vancouver;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/sao-paulo-vancouver-anno-cambiato-nostre-vite;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/imparare-inglese-a-san-diego-dopo-il-corso;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/englisch-sprechen-sprachaufenthalt;ar,es,fr,it,ja,ko,pt;1;Redirect
;Is exactly;/post/impara-inglese-usa-modi-intelligenti;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/21-business-english-frasi-carriera-globale;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/vancouver-vs-san-diego-ritmo-quotidiano-soggiorno-lingua;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/inglese-per-carriere-globali;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/studentessa-campus-scuola-lingue-san-diego;ar,de,es,fr,ja,ko,pt;1;Redirect
;Is exactly;/post/plan-english-course-canada;ar,de,es,fr,it,ja,ko,pt;1;Redirect
