"word_from","ar","de","es","fr","it","ja","ko","pt"
"1 teacher per student","معلم واحد لكل طالب","1 Lehrer pro Schüler","1 profesor por estudiante","1 enseignant par élève","1 insegnante per studente","生徒一人に対して教師一人","학생 1명당 교사 1명","1 professor por aluno"
"10 - 20 min. by bus to CEL","20 دقيقة عن طريق الباص الى المدرسه CEL","10 - 20 Minuten Busfahrt zu CEL","10 - 20 min en bus de CEL","10 - 20 min. en bus jusqu'au CEL","10 - 20 minuti dal CEL","CELまでバスで10-20分","CEL까지10- 20분","10 - 20 minutos de ônibus até a CEL"
"10 min. walk to CEL","10 دقيقة مشيا الى المدرسة CEL","10 Minuten zu Fuss zu CEL","10 min a pie de CEL","À 10 minutes à pied du CEL","10 minuti a piedi dal CEL","CELまで徒歩10分","CEL까지 도보 10분","10 minutos andando até a CEL"
"16 min. walk to CEL","16 دقيقة مشيا الى المدرسة CEL","16 Minuten zu Fuss zu CEL","16 min andando de CEL","À 16 minutes à pied du CEL","16 minuti a piedi dal CEL","CELまで徒歩16分","CEL까지 도보 16분","16 minutos andando até a CEL"
"16+ years","الحد الأدنى للعمر هو 16 سنة","Ab 16 Jahren","16 años +","Âge minimum : 16 ans","Età minima: 16 anni","最少年齢:16歳","16세 이상","Idade mínima: 16 anos"
"18 + years","أكثر من 18 عامًا","Ab 18 Jahre","A partir de 18 años","Plus de 18 ans","Oltre 18 anni","18歳以上","18세 이상","Mais de 18 anos"
"20 min. by bus to CEL","20 دقيقة عن طريق الباص الى المدرسه CEL","20 Minuten Busfahrt zu CEL","20 min en bus de CEL","20 min. en bus jusqu'au CEL","20 minuti dal CEL","CELまでバスで20分","CEL까지 20분","20 minutos de ônibus até a CEL"
"25 min. by bus to CEL","25 دقيقة عن طريق الباص الى المدرسه CEL","25 Minuten Busfahrt zu CEL","25 min en bus de CEL","25 min. en bus jusqu'au CEL","25 minuti dal CEL","CELまでバスで25分","CEL까지 25분","25 minutos de ônibus até a CEL"
"25 min. walk to CEL","25 دقيقة مشيا الى المدرسة CEL","25 Minuten zu Fuss zu CEL","25 min a pie de CEL","À 25 minutes à pied du CEL","25 minuti a piedi dal CEL","CELまで徒歩25分","CEL까지 도보 25분","25 minutos andando até a CEL"
"30 - 45 min. by bus to CEL","30-45 دقيقة عن طريق الباص الى المدرسه CEL","30 - 45 Minuten Busfahrt zu CEL","30 - 45 min en bus de CEL","De 30 à 45 min. en bus jusqu'au CEL","30-45 minuti dal CEL","CELまでバスで30-45分","CEL까지 30-45분","30-45 minutos de ônibus até a CEL"
"30 - 75 min. by bus to CEL","30-75 دقيقة عن طريق الباص الى المدرسه CEL","30 - 75 Minuten Busfahrt zu CEL","30-75 min en bus de CEL","De 30 à 75 min. en bus jusqu'au CEL","30-75 minuti dal CEL","CELまでバスで30-75分","CEL까지 버스 30-75분","30 - 75 minutos de ônibus até a CEL"
"30 Min. by Bus to CEL","30 دقيقة في الباص الى المعهد CEL","30 Minuten Busfahrt zu CEL","30 min en bus de CEL","30 minutes en bus jusqu'au CEL","30 minuti di bus dal CEL","CELまでバスで30分","CEL까지 30분","30 minutos de ônibus até a CEL"
"30 min. by bus to CEL","30 دقيقة عن طريق الباص الى المدرسه CEL","30 Minuten Busfahrt zu CEL","30 min en bus de CEL","30 min. en bus jusqu'au CEL","30 minuti dal CEL","CELまでバスで30分","CEL까지 30분","30 minutos de ônibus até a CEL"
"30 min. walk to CEL","30 دقيقة مشيا الى المدرسة CEL","30 Minuten zu Fuss zu CEL","30 min andando de CEL","À 30 minutes à pied du CEL","30 minuti a piedi dal CEL","CELまで徒歩30分","CEL까지 도보 30분","30 minutos andando até a CEL"
"30-75 min. by bus to CEL","30-75 دقيقة عن طريق الباص الى المدرسه CEL","30-75 Minuten Busfahrt zu CEL","30-75 min en bus de CEL","De 30 à 75 min. en bus jusqu'au CEL","30-75 minuti dal CEL","CELまでバスで30-75分","CEL까지 버스로 30-75분","30-75 minutos de ônibus até a CEL"
"30-75 min. by bus to EC","30-75 دقيقة عن طريق الباص الى المدرسه EC","","","De 30 à 75 min. en bus jusqu'au EC","30-75 minuti dal EC","ECまでバスで30-75分","EC까지 버스 30-75분","35-75 minutos de ônibus até a EC"
