id;language_from;language_to;word_from;word_to;type
;en;es;"International students targeting North American universities often face strict entry requirements. One-to-one sessions support students enrolled in an intensive pathway program in the USA by giving them a dedicated space to practice academic writing, citation formats, and presentation skills. A student preparing for college might spend their sessions reviewing complex sentence structures required for university-level essays. It builds confidence. Preparing for an undergraduate degree preparation track demands more than just casual conversation skills. You must master formal registers, academic vocabulary, and critical thinking articulation. Teachers holding specific exam credentials guide you through these demanding transitions.";"Los estudiantes internacionales que aspiran a universidades norteamericanas suelen enfrentar requisitos de ingreso estrictos. Las sesiones individuales apoyan a los alumnos matriculados en un programa de pasarela universitaria intensivo en EE. UU. al brindarles un espacio dedicado para practicar la redacción académica, los formatos de citación y las habilidades de presentación. Un estudiante que se prepara para la universidad podría dedicar sus sesiones a repasar las estructuras de oraciones complejas necesarias para los ensayos de nivel superior. Esto genera confianza. Prepararse para un programa académico de grado exige mucho más que simples habilidades de conversación informal. Debe dominar registros formales, vocabulario académico y la articulación del pensamiento crítico. Profesores con credenciales de examen específicas le guían a través de estas transiciones exigentes.";Text
;en;es;"Vancouver independent living";"Vida independiente en Vancouver";Text
;en;es;"How does our language school in Los Angeles work?";"¿Cómo funciona nuestra escuela de idiomas en Los Ángeles?";Text
;en;es;"Academic Pathway USA";"Academic Pathway USA";Text
;en;es;"Why choose our english language school in Vancouver?";"¿Por qué elegir nuestra escuela de inglés en Vancouver?";Text
;en;es;"Test strategies and classroom focus";"Estrategias de examen y enfoque en el aula";Text
;en;es;"Students who choose a homestay find that their speaking confidence improves fastest when they are forced to use the language at home. Finding the right words over dinner or asking for directions to the grocery store forces you to think in English. If you encounter difficulties, reading about ways to overcome difficulties learning English can help you manage common early frustrations. Your host family understands that you are a student. They will patiently encourage you to express yourself.";"Los estudiantes que eligen un alojamiento en familia descubren que su confianza al hablar mejora más rápido cuando se ven obligados a usar el idioma en casa. Encontrar las palabras adecuadas durante la cena o pedir indicaciones para ir al supermercado le obliga a pensar en inglés. Si encuentra dificultades, leer sobre las formas de superar las dificultades al aprender inglés puede ayudarle a manejar las frustraciones tempranas comunes. Su familia anfitriona comprende que usted es un estudiante. Ellos le animarán pacientemente a expresarse.";Text
;en;es;"Who benefits most from this arrangement?";"¿Quién se beneficia más de este arreglo?";Text
;en;es;"Living in the Fairview district offers a practical balance between quiet residential streets and access to major city amenities. Because the apartment economy apt living requires self-catering, you handle your own grocery shopping and daily cooking. This setup naturally encourages you to interact with neighbors and vendors. Every interaction outside your studio contributes to your learning progress. Students who enroll in General English classes often use their evenings to practice new vocabulary while running errands. You set your schedule. Total independence. The space itself holds exactly what a single student needs for a productive stay. Reviewing other housing options shows that self-catering studios provide the highest level of personal freedom. A 30-minute commute is standard for urban professionals, giving you a highly authentic experience. By the time you arrive at the school, your mind is fully engaged in the target language.";"Vivir en el distrito de Fairview ofrece un equilibrio práctico entre las calles residenciales tranquilas y el acceso a los principales servicios de la ciudad. Como el apartamento económico requiere que cocine por su cuenta, usted se encarga de sus compras y de la preparación diaria de sus alimentos. Esta organización le anima de forma natural a relacionarse con los vecinos y los vendedores. Cada interacción fuera de su estudio contribuye a su progreso de aprendizaje. Los estudiantes que se matriculan en las clases de inglés general suelen aprovechar las tardes para practicar el nuevo vocabulario mientras hacen sus recados. Usted define su propio horario. Independencia total. El espacio contiene exactamente lo que una persona necesita para una estancia productiva. Al evaluar otras opciones de alojamiento, se evidencia que los estudios con cocina propia ofrecen el mayor nivel de libertad personal. Un viaje de 30 minutos es algo habitual para los profesionales urbanos, lo que le otorga una experiencia muy auténtica. Para cuando llega a la escuela, su mente ya está completamente enfocada en el idioma que desea dominar.";Text
;en;es;"Choosing the right curriculum depends entirely on what you want to achieve. Many students start with a standard foundation at our english language school. Our general English courses build everyday vocabulary and practical grammar. If you plan to sit for formal exams, the focus shifts. A specialized Cambridge prep program targets the exact reading, writing, and speaking formats required for a passing score. The material is rigorous. The practice tests are timed. For those focusing on professional growth, career development modules introduce project-based learning. You simulate business meetings, analyze artificial intelligence trends, and practice project management vocabulary. This builds immediate career-ready skills. We also accommodate absolute beginners who need a private focus. Adding one-on-one sessions allows your instructor to isolate specific pronunciation habits or grammar gaps. Not sure which track fits best? Take a moment to explore all of our classes and compare the weekly schedules.";"Elegir el plan de estudios correcto depende por completo de lo que usted quiera lograr. Muchos estudiantes comienzan con una base estándar en nuestra escuela de inglés. Nuestros [cursos de inglés general] desarrollan vocabulario cotidiano y gramática práctica. Si planea presentarse a exámenes oficiales, el enfoque cambia. Un programa especializado de [preparación Cambridge] aborda los formatos exactos de lectura, escritura y expresión oral necesarios para obtener la calificación aprobatoria. El material es riguroso. Los exámenes de práctica son cronometrados. Para quienes se enfocan en el crecimiento profesional, los módulos de desarrollo de carrera introducen el aprendizaje basado en proyectos. Usted simula reuniones de negocios, analiza tendencias de inteligencia artificial y practica el vocabulario de gestión de proyectos. Esto construye habilidades inmediatas para el entorno laboral. También recibimos a principiantes absolutos que necesitan atención privada. Añadir sesiones individuales le permite a su instructor aislar hábitos de pronunciación específicos o lagunas gramaticales. ¿No está seguro de qué camino le conviene más? Tómese un momento para [explorar todas nuestras clases] y comparar los horarios semanales.";Text
;en;es;"Finding the right balance of privacy and connection";"Encontrar el equilibrio adecuado entre privacidad y conexión";Text
;en;es;"Students choosing between the english plus toefl preparation and our English Plus Cambridge Prep typically base their decision on geographic goals. The TOEFL iBT is widely requested by universities in North America. Cambridge English exams hold massive recognition across Europe and the United Kingdom. Both require intense dedication. If you plan to apply to undergraduate programs at American universities, the TOEFL iBT score provides the most direct route for admissions. Some candidates also consider focusing on English Academic Skills if they need more time to build fundamental university writing habits before tackling timed exam formats.";"Los estudiantes que eligen entre english plus toefl preparation y nuestro English Plus Cambridge Prep suelen basar su decisión en objetivos geográficos. El TOEFL iBT es muy solicitado por las universidades de Norteamérica. Los exámenes Cambridge English tienen un gran reconocimiento en Europa y el Reino Unido. Ambos requieren una intensa dedicación. Si planea postularse a programas de pregrado en universidades estadounidenses, la puntuación del TOEFL iBT ofrece la vía más directa para las admisiones. Algunos candidatos también consideran enfocarse en habilidades académicas en inglés si necesitan más tiempo para desarrollar hábitos básicos de escritura universitaria antes de enfrentarse a formatos de examen cronometrados.";Text
;en;es;"An eight-week duration acts as a solid foundation for noticeable fluency gains. Students arriving at an A2 or B1 level often experience a visible improvement in their daily communication skills within this timeframe. You develop stronger grammar control and improve your listening comprehension. By the end of two months, you might complete a full level advancement. The key is consistent attendance. Your progress depends directly on how intensely you practice reading and writing alongside spoken conversation. Exploring the city helps. Review our surprises of living in Vancouver as a student post to see how daily life reinforces classroom theory. Practicing your English in Vancouver neighborhoods like Kitsilano or Gastown forces you to use new phrasing naturally.";"Una duración de ocho semanas funciona como una base sólida para lograr avances notables en la fluidez. Los alumnos que llegan con un nivel A2 o B1 suelen experimentar una mejora visible en sus habilidades de comunicación diaria dentro de este periodo. Usted desarrolla un mayor control gramatical y mejora su comprensión auditiva. Al finalizar los dos meses, es posible completar el avance de un nivel entero. La clave es la asistencia constante. Su progreso depende directamente de la intensidad con la que practique la lectura y la escritura junto con la conversación. Explorar la ciudad ayuda mucho. Lea nuestra publicación sobre las sorpresas de vivir en Vancouver como estudiante para ver cómo la vida cotidiana refuerza la teoría del aula. Practicar su inglés en barrios de Vancouver como Kitsilano o Gastown le obliga a utilizar nuevas frases de forma natural.";Text
;en;es;"Is English Plus Surfing the right program for you?";"¿Es english plus surfing el programa adecuado para usted?";Text
;en;es;"What makes a premium homestay right for you?";"¿Por qué un alojamiento premium en familia es adecuado para usted?";Text
;en;es;"Pathway Career Training";"Capacitación profesional Pathway";Text
;en;es;"Equipment rentals are included in your afternoon sessions. You do not need to purchase a board or wetsuit before arriving in California. The coaching staff matches the equipment to your height, weight, and current skill level each week. As your balance improves, they transition you to shorter, more responsive boards. Your only daily responsibilities are attending your morning lessons, bringing adequate sun protection, and maintaining an open mindset.";"Los alquileres de equipo están incluidos en sus sesiones vespertinas. No necesita comprar una tabla o un traje de neopreno antes de llegar a California. El personal de entrenamiento adapta el equipo a su altura, peso y nivel de habilidad actual cada semana. A medida que su equilibrio mejora, le cambian a tablas más cortas y con mayor capacidad de respuesta. Sus únicas responsabilidades diarias son asistir a sus lecciones matutinas, llevar protección solar adecuada y mantener una mentalidad abierta.";Text
;en;es;"Graduates of U.S. degree programs can apply for Optional Practical Training (OPT), which allows up to 1 year of paid work in the United States after completing a degree (and longer for graduates of certain Science, Technology, Engineering, and Mathematics (STEM) fields). That career runway is one reason many students choose the U.S. route rather than studying entirely from abroad. Students who want to see the program location, meet the team, and plan a start date can reach CEL's San Diego language school directly.";"Los graduados de programas universitarios de EE. UU. pueden solicitar la Capacitación Práctica Opcional (OPT). Esto permite hasta 1 año de trabajo remunerado en Estados Unidos después de completar un título (y más tiempo para los egresados de ciertos campos de ciencia, tecnología, ingeniería y matemáticas). Esa plataforma profesional es una de las razones por las que muchos estudiantes eligen la ruta de EE. UU. en lugar de estudiar completamente desde el extranjero. Los estudiantes que deseen ver la ubicación del programa, conocer al equipo y planificar una fecha de inicio pueden comunicarse directamente con la escuela de idiomas de CEL en San Diego.";Text
;en;es;"Earning a high score on the Cambridge English: Advanced (CAE) requires dedicated strategy practice. Advanced learners usually spend 8 to 12 weeks purely on exam techniques. You must master the specific reading formats and strict time limits of the test. Taking practice exams under realistic conditions is essential. We provide personalized feedback on every mock test. If you are aiming for university admission, you might need a longer pathway. Many students spend 20 weeks or more bridging the gap between general fluency and academic readiness. You can review our undergraduate pathway programs to understand the required entry benchmarks for North American institutions.";"Obtener una puntuación alta en el Cambridge English: Advanced (CAE) requiere una práctica estratégica dedicada. Los alumnos avanzados suelen dedicar de 8 a 12 semanas exclusivamente a técnicas de examen. Usted debe dominar los formatos de lectura específicos y los estrictos límites de tiempo de la prueba. Hacer exámenes de práctica en condiciones realistas es esencial. Proporcionamos comentarios personalizados en cada prueba de simulacro. Si su objetivo es la admisión universitaria, es posible que necesite un trayecto más largo. Muchos estudiantes invierten 20 semanas o más para cerrar la brecha entre la fluidez general y la preparación académica. Puede revisar nuestros programas de pasarela universitaria para comprender los requisitos de ingreso que exigen las instituciones norteamericanas.";Text
;en;es;"Timeline expectations and level progression";"Expectativas de tiempo y progresión de nivel";Text
;en;es;"Afternoons and weekends are built around an excursion programme rather than free time, with included visits across the Southern California coast and city. The published list includes Disneyland, Universal Studios, a Los Angeles day trip, a Major League Baseball game, San Diego Zoo, Belmont Park, Coronado Island, Balboa Park, Sea World, USS Midway Museum, Seaport Village, Old Town, Little Italy, and Fashion Valley, plus regular beach and park time given the Pacific Beach proximity. The mix is built so that students experience American teen-life routines (theme parks, ballparks, boardwalks) while practising English with peers from many different countries each summer. Parents and students who want answers to questions outside the camp brief can use the broader CEL FAQ covering courses, accreditation, and student support across all CEL programmes.";"Las tardes y los fines de semana se estructuran en torno a un programa de excursiones en lugar de tiempo libre, con visitas incluidas por toda la costa y la ciudad del sur de California. La lista publicada incluye Disneyland, Universal Studios, una excursión de un día a Los Angeles, un partido de béisbol de las Grandes Ligas, el zoológico de San Diego, Belmont Park, Coronado Island, Balboa Park, Sea World, el USS Midway Museum, Seaport Village, Old Town, Little Italy y Fashion Valley, además de tiempo regular en la playa y en los parques dada la proximidad a Pacific Beach. La combinación está diseñada para que los estudiantes vivan las rutinas de la vida adolescente estadounidense (parques temáticos, estadios de béisbol, paseos marítimos) mientras practican inglés con compañeros de muchos países diferentes cada verano. Los padres y estudiantes que deseen respuestas a preguntas fuera del resumen del campamento pueden utilizar las preguntas frecuentes más amplias de CEL que cubren los cursos, la acreditación y el apoyo al estudiante en todos los programas de CEL.";Text
;en;es;"Daily life and academic progression";"Vida diaria y progresión académica";Text
;en;es;"Maintaining energy levels is the primary challenge for new arrivals. The water demands significant physical stamina. Your first week will feel exhausting. Students typically need about 7 days to adapt to the rhythm of intensive mental focus followed by active exertion. We structure the english plus surfing schedule specifically to support this physical balance. Morning classes run efficiently to ensure you maximize your peak cognitive hours.";"Mantener los niveles de energía es el principal desafío para los recién llegados. El agua exige una resistencia física considerable. Su primera semana le resultará agotadora. Normalmente, los alumnos necesitan unos 7 días para adaptarse al ritmo de un enfoque mental intensivo seguido de esfuerzo activo. Estructuramos el horario de english plus surfing específicamente para respaldar este equilibrio físico. Las clases matutinas se desarrollan de manera eficiente para asegurar que usted maximice sus horas de mayor rendimiento cognitivo.";Text
;en;es;"Absolutely. Many students opt for a hybrid approach to maximize their study time abroad. You might start your day with a General English group class to build fluency through peer interaction and collaborative projects. Then, you step into an individual session to target the specific errors you made earlier that morning. This combination is highly effective. It blends the social benefits of language immersion with the precision of targeted error correction. Students studying at the College of English Language often find this balance prevents them from hitting a plateau. When you combine group dynamics with private lessons, your overall progression through the CEFR levels becomes more consistent and predictable.";"Totalmente. Muchos alumnos optan por un enfoque híbrido para maximizar su tiempo de estudio en el extranjero. Podría comenzar su día con una clase grupal de inglés general para desarrollar la fluidez mediante la interacción con compañeros y proyectos colaborativos. Luego, pasa a una sesión individual para abordar los errores específicos que cometió esa misma mañana. Esta combinación resulta altamente efectiva. Combina los beneficios sociales de la inmersión lingüística con la precisión de la corrección de errores específicos. Los estudiantes del College of English Language a menudo notan que este equilibrio evita que se estanquen en su aprendizaje. Cuando combina el formato grupal con las lecciones privadas, su progresión general a través de los niveles del CEFR se vuelve más constante y predecible.";Text
;en;es;"What can you expect from the lifestyle and urban environment?";"¿Qué puede esperar del estilo de vida y el entorno urbano?";Text
;en;es;"Meeting the language level requirements";"Cumplir con los requisitos de nivel de idioma";Text
;en;es;"Because this housing option features shared bathrooms and communal living spaces, house rules exist to maintain harmony. Every resident must clean up their own messes immediately. If you cook, you wash your pots and pans before leaving the kitchen. Minimum age restrictions ensure a certain level of maturity among residents. Everyone must be at least 17 years old to book this accommodation. Noise curfews typically apply late at night to ensure everyone gets enough sleep. When issues arise, direct communication solves most problems. Living closely with others teaches valuable interpersonal skills that extend far beyond grammar and vocabulary.";"Dado que esta opción de alojamiento cuenta con baños compartidos y espacios de convivencia, existen normas en la casa para mantener la armonía. Cada residente debe limpiar su propio desorden de inmediato. Si usted cocina, lava sus ollas y sartenes antes de salir de la cocina. Las restricciones de edad mínima aseguran cierto nivel de madurez entre todos los habitantes. Todos deben tener al menos 17 años para reservar este alojamiento. Los toques de queda por ruido suelen aplicarse tarde por la noche para garantizar que todos duerman lo suficiente. Cuando surgen problemas, la comunicación directa soluciona la mayoría de los contratiempos. Convivir estrechamente con otras personas enseña valiosas habilidades interpersonales que van mucho más allá de la gramática y el vocabulario.";Text
